quadrat,cc,density,block,strip,square_original,side,square,x,y,c1.new.em,c2.new.em,c4.new.em,c5.new.em
312,ldshoots,50,3,31,46,east,43,4,3,0,0,0,0
313,ldshoots,5000,3,31,14,east,11,1,1,5,1,2,1
313,ldshoots,5000,3,31,24,east,21,2,1,2,1,3,0
313,ldshoots,5000,3,31,34,east,31,3,1,2,2,8,0
313,ldshoots,5000,3,31,44,east,41,4,1,0,0,0,0
313,ldshoots,5000,3,31,15,east,12,1,2,0,0,6,2
313,ldshoots,5000,3,31,25,east,22,2,2,1,4,3,1
313,ldshoots,5000,3,31,35,east,32,3,2,2,1,2,0
313,ldshoots,5000,3,31,45,east,42,4,2,1,1,2,0
313,ldshoots,5000,3,31,16,east,13,1,3,1,1,2,0
313,ldshoots,5000,3,31,26,east,23,2,3,1,1,3,0
313,ldshoots,5000,3,31,36,east,33,3,3,0,0,2,0
313,ldshoots,5000,3,31,46,east,43,4,3,1,0,0,0
316,ldshoots,50000,3,31,14,east,11,1,1,42,8,0,0
316,ldshoots,50000,3,31,24,east,21,2,1,109,15,22,0
316,ldshoots,50000,3,31,34,east,31,3,1,20,24,29,0
316,ldshoots,50000,3,31,44,east,41,4,1,7,15,30,0
316,ldshoots,50000,3,31,15,east,12,1,2,23,6,0,0
316,ldshoots,50000,3,31,25,east,22,2,2,29,10,17,0
316,ldshoots,50000,3,31,35,east,32,3,2,14,0,11,0
316,ldshoots,50000,3,31,45,east,42,4,2,25,3,17,0
316,ldshoots,50000,3,31,16,east,13,1,3,6,5,13,0
316,ldshoots,50000,3,31,26,east,23,2,3,14,4,10,0
316,ldshoots,50000,3,31,36,east,33,3,3,36,4,15,0
316,ldshoots,50000,3,31,46,east,43,4,3,8,5,11,0
317,ldshoots,200000,3,31,14,east,11,1,1,80,37,28,0
317,ldshoots,200000,3,31,24,east,21,2,1,252,0,34,0
317,ldshoots,200000,3,31,34,east,31,3,1,196,35,32,0
