quadrat,square,x,y,block,strip,density,cc,Cotyledons,2.5cm,5cm,10cm,15cm,20cm,25cm,counter
152,"2,5",2,5,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"2,6",2,6,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"3,4",3,4,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"3,5",3,5,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"3,6",3,6,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"4,4",4,4,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"4,5",4,5,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"4,6",4,6,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
153,"1,4",1,4,1,15,50000,hdshoots,8,23,26,15,0,0,0,Abbe Hamilton
153,"1,5",1,5,1,15,50000,hdshoots,4,19,18,11,1,0,0,Abbe Hamilton
153,"1,6",1,6,1,15,50000,hdshoots,8,11,18,4,1,0,0,Abbe Hamilton
153,"2,4",2,4,1,15,50000,hdshoots,4,11,14,7,0,0,0,Abbe Hamilton
153,"2,5",2,5,1,15,50000,hdshoots,6,15,14,12,0,0,0,Abbe Hamilton
153,"2,6",2,6,1,15,50000,hdshoots,1,1,4,1,0,0,0,Abbe Hamilton
153,"3,4",3,4,1,15,50000,hdshoots,3,9,10,10,0,0,0,Abbe Hamilton
153,"3,5",3,5,1,15,50000,hdshoots,13,10,7,2,0,0,0,Abbe Hamilton
153,"3,6",3,6,1,15,50000,hdshoots,1,0,3,1,0,0,0,Abbe Hamilton
153,"4,4",4,4,1,15,50000,hdshoots,9,11,5,2,0,0,0,Abbe Hamilton
153,"4,5",4,5,1,15,50000,hdshoots,18,1,5,4,0,0,0,Abbe Hamilton
153,"4,6",4,6,1,15,50000,hdshoots,8,7,3,1,0,0,0,Abbe Hamilton
154,"1,4",1,4,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"1,5",1,5,1,15,500,hdshoots,0,0,1,0,0,0,0,Abbe Hamilton
154,"1,6",1,6,1,15,500,hdshoots,1,0,0,0,0,0,0,Abbe Hamilton
154,"2,4",2,4,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"2,5",2,5,1,15,500,hdshoots,0,0,1,0,0,0,0,Abbe Hamilton
154,"2,6",2,6,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"3,4",3,4,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"3,5",3,5,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"3,6",3,6,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"4,4",4,4,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"4,5",4,5,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
154,"4,6",4,6,1,15,500,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
155,"1,4",1,4,1,15,5000,hdshoots,0,2,2,0,0,0,0,Abbe Hamilton
155,"1,5",1,5,1,15,5000,hdshoots,0,0,1,1,0,0,0,Abbe Hamilton
155,"1,6",1,6,1,15,5000,hdshoots,0,3,3,1,0,0,0,Abbe Hamilton
155,"2,4",2,4,1,15,5000,hdshoots,3,3,3,0,0,0,0,Abbe Hamilton
155,"2,5",2,5,1,15,5000,hdshoots,3,3,3,0,0,0,0,Abbe Hamilton
155,"2,6",2,6,1,15,5000,hdshoots,0,0,2,1,0,0,0,Abbe Hamilton
155,"3,4",3,4,1,15,5000,hdshoots,2,3,1,4,0,0,0,Abbe Hamilton
155,"3,5",3,5,1,15,5000,hdshoots,2,2,1,1,0,0,0,Abbe Hamilton
155,"3,6",3,6,1,15,5000,hdshoots,2,0,1,0,0,0,0,Abbe Hamilton
155,"4,4",4,4,1,15,5000,hdshoots,0,1,4,2,0,0,0,Abbe Hamilton
155,"4,5",4,5,1,15,5000,hdshoots,1,1,2,3,0,0,0,Abbe Hamilton
155,"4,6",4,6,1,15,5000,hdshoots,0,0,1,0,0,0,0,Abbe Hamilton
212,"1,4",1,4,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"1,5",1,5,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"1,6",1,6,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"2,4",2,4,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"2,5",2,5,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"2,6",2,6,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"3,4",3,4,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"3,5",3,5,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"3,6",3,6,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"4,4",4,4,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"4,5",4,5,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
212,"4,6",4,6,2,21,50,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
213,"1,4",1,4,2,21,50000,hdshoots,0,25,13,10,2,0,0,Laurel Wellman
213,"1,5",1,5,2,21,50000,hdshoots,0,19,6,8,1,0,0,Laurel Wellman
213,"1,6",1,6,2,21,50000,hdshoots,2,41,14,3,0,0,0,Laurel Wellman
213,"2,4",2,4,2,21,50000,hdshoots,0,41,14,14,3,0,0,Laurel Wellman
213,"2,5",2,5,2,21,50000,hdshoots,4,8,10,5,1,0,0,Laurel Wellman
213,"2,6",2,6,2,21,50000,hdshoots,8,10,14,5,2,0,0,Laurel Wellman
213,"3,4",3,4,2,21,50000,hdshoots,2,11,8,3,0,0,0,Laurel Wellman
213,"3,5",3,5,2,21,50000,hdshoots,3,27,9,8,2,0,0,Laurel Wellman
213,"3,6",3,6,2,21,50000,hdshoots,11,11,12,11,4,0,0,Laurel Wellman
213,"4,4",4,4,2,21,50000,hdshoots,7,11,3,1,0,0,0,Laurel Wellman
213,"4,5",4,5,2,21,50000,hdshoots,5,0,3,4,0,0,0,Laurel Wellman
213,"4,6",4,6,2,21,50000,hdshoots,3,2,0,1,0,0,0,Laurel Wellman
217,"1,4",1,4,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"1,5",1,5,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"1,6",1,6,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"2,4",2,4,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"2,5",2,5,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"2,6",2,6,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"3,4",3,4,2,21,500,hdshoots,0,1,0,0,0,0,0,Laurel Wellman
217,"3,5",3,5,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"3,6",3,6,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"4,4",4,4,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"4,5",4,5,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
217,"4,6",4,6,2,21,500,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
218,"1,4",1,4,2,21,5000,hdshoots,0,0,0,0,0,0,0,Laurel Wellman
218,"1,5",1,5,2,21,5000,hdshoots,0,1,0,0,0,0,0,Laurel Wellman
218,"1,6",1,6,2,21,5000,hdshoots,0,1,2,0,0,0,0,Laurel Wellman
218,"2,4",2,4,2,21,5000,hdshoots,0,1,3,1,0,0,0,Laurel Wellman
218,"2,5",2,5,2,21,5000,hdshoots,1,1,3,1,0,0,0,Laurel Wellman
218,"2,6",2,6,2,21,5000,hdshoots,0,0,0,1,0,0,0,Laurel Wellman
218,"3,4",3,4,2,21,5000,hdshoots,0,2,0,0,0,0,0,Laurel Wellman
